"GLOWSKIN TRAT 5 PROD","Tratamiento de 5 productos Glow Skin",5008.0,2344.9
"HPEEL MASC ROJAS/250","Home Peel Máscara descongestiva manzanas rojas x 250 g",356.0,138.6
"HPEEL MASC ROJAS/50","Home Peel Máscara descongestiva manzanas rojas x 50 g",192.0,74.7
"HPEEL SUERO UVAS/50","Home Peel Suero con pepitas de uva x 50ml",192.0,74.7
"MAND ASC DES/50","Máscara Descongestiva de almendras Mandelic x 50 g",192.0,74.7
"MAND CR CLAREAD/50","Crema clareadora Mandelic x 50 g",286.0,110.7
"MAND EM CLAREAD/50","Emulsión clarificante Mandelic x 50 ml",314.0,122.0
"MAND GEL LIMP/50","Gel limpiador Mandelic x 50 g",206.0,80.1
"MASC PALTA/50","Mascara Nutritiva de palta x 50 g",206.0,80.1
"MASSTIGECREMACORP/250","Crema corporal de acción intensiva Masstige 250 g",580.0,225.0
"MASSTIGECREMAGEL250","Crema gel antioxidante Masstige 250g",512.0,198.9
"MASSTIGE GEL LIMP/250","Gel de limpieza Masstige 250 g",324.0,126.0
"MASSTIGELOCION/250","Locion descongestiva revitalizante Masstige 250ml",374.0,149.4
"MASSTIGE MASC DESC/250","Máscara descongestiva Masstige x 250 grs.",526.0,204.3
"MASSTIGEPULIDOR300","Gel pulidor Masstige x 300 grs.",356.0,138.6
"MONCE09","Crema abrasiva x 250 g",206.0,274.03
"MONCE30","Gel limpiador Mandelic x 250 g",554.0,215.1
"NTRG TEXT CREM/45","Nutriage Texturizing Complex Cream x 45 g",826.0,320.4
"NTRG TEXT SERUM/30","Nutriage Texturizing Serum x 30ml",554.0,222.3
"PYTOCELL 120","Skin Messenger Suero Stem Cell x 120 g",1770.0,687.6
"PYTOCELL 30","Skin Messenger Suero Stem Cell x 30 g",598.0,232.2
"PYTOCELL 40","Skin Messenger Suero Stem Cell x 40 g",0.0,239.4
"RFRM C,CYE/250","Reform Cara, cuello y escote x 250 g",1578.0,612.9
"RFRM C,CYE/50","Reform Cara, cuello y escote x 50 g",442.0,171.9
"RFRM CONT 15","Reform Contorno de ojos x 20 g",490.0,176.4
"RFRM GEL PUL X50","Reform Gel pulidor x 50 g",192.0,74.7
"RFRM MASC/50","Reform Máscara Descongestiva Frutal x 50 g",192.0,74.7
"RFRM MASC FRUT/250","Reform Máscara Descongestiva Frutal x 250 g",406.0,157.5
"RFRM PEEL FTE CAPX50","Reform Peeling Suave Capsulas Vit C x 20 ",146.0,175.2
"RFRM PEEL FTE+CAP X50","Reform Peeling Solucion Suave x 50 + 20 Capsulas Vit C",180.0,69.85
"RFRM PEEL FTE X50","Reform Peeling Solucion Fuerte x 50",658.0,255.6
"RFRM PEEL SVE SOL X50","Reform Peeling Solucion Suave x 50",464.0,180.0
"RFRM SUERO/30","Reform Suero con Rigin x 30 g",356.0,138.6
"SPF Aceite","SPF Aceite con tinosol x 50 cc",296.0,115.2
"S/SEBO100","Suero seborregulador y antiinflamatorio x 100 ml",418.0,162.0
"S/SEBO50","Suero seborregulador y antiinflamatorio x 50 ml",224.0,87.3
"VIVIFIC/100","Gel Vivificante para puntas resecas 100 cc",500.0,194.4
"VIVIFIC/250","Gel Vivificante para puntas resecas 250 cc.",1216.0,472.05
"VIVIFIC/50","Gel Vivificante para puntas resecas 50g",276.0,107.1
"False","Alcohol en gel 50g",92.0,36.0
"False","Crema Jab Abras pulido corporal 250",648.0,252.0
"False","Crema para Queilitis 30g",142.0,54.9
"False","Emulsion Andromaco Aveno",350.0,136.07
"False","Gel pulidor con Apricor x 50 grs",0.0,0.0
"False","Gem Skin contorno de ojos x30",292.0,113.4
"False","Glicosal x 30cc",0.0,0.0
"False","Glicosal x 50cc",202.0,78.48
"False","Lactico 10 Gel x 30cc",78.0,30.24
"False","Lactico 5 Emulsión x 30cc",88.0,33.84
"False","Natural peel crema peeliing aclarante x 30",246.0,95.46
"False","Retinoico 0.25 x 30gr",114.0,43.92
"False","Retinoico 0.25 x 50gr",114.0,43.92
"False","Solución anestésica pédica x50cc",292.0,113.4
